weight_g,raw,mv,avg_raw,avg_mv
weight_g,raw,mv,avg_raw,avg_mv
1009.000,3444,1147,3458.63,1151.87
980.000,3409,1133,3413.50,1134.50
0.000,1705,579,1693.63,575.14
