code	name	color	material	variantId	imageUrl	productUrl
14100	PLA-CF	Black	PLA	A50-K0	https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14101	PLA-CF	Lava Gray	PLA	A50-D6	https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14102	PLA Aero	White	PLA	A11-W0	https://store.bblcdn.eu/s8/default/c2e94607bb684af49bcaa25ec9dac8da/AERO_bc503e27-6fed-4b8e-a505-342f6050dc27.png	https://eu.store.bambulab.com/products/pla-aero
14103	PLA Aero	Black	PLA Aero	A11-K0		
14104	PLA Aero	Gray	PLA		https://store.bblcdn.eu/s8/default/c2e94607bb684af49bcaa25ec9dac8da/AERO_bc503e27-6fed-4b8e-a505-342f6050dc27.png	https://eu.store.bambulab.com/products/pla-aero
14200	PLA-CF	Burgundy Red	PLA		https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14500	PLA-CF	Matcha Green	PLA		https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14600	PLA-CF	Jeans Blue	PLA		https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14601	PLA-CF	Royal Blue	PLA	A50-B6	https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
14700	PLA-CF	Iris Purple	PLA		https://store.bblcdn.eu/s8/default/6c62179718bc473c94f3e629543e001b/c0f99c4f6c04f5422dcd8db2da060392.png	https://eu.store.bambulab.com/products/pla-cf
15200	PLA Glow	Glow Pink	PLA	A12-R0	https://store.bblcdn.eu/s8/default/4cffb4e77bab4384b32fc327a60bc1f2/4fefbcd44633bcd5e4f4663eafb78c3c_cb3f9dbb-235b-4e7d-83ab-6cbecb7aa5bf.png	https://eu.store.bambulab.com/products/pla-glow
15300	PLA Glow	Glow Orange	PLA	A12-A0	https://store.bblcdn.eu/s8/default/4cffb4e77bab4384b32fc327a60bc1f2/4fefbcd44633bcd5e4f4663eafb78c3c_cb3f9dbb-235b-4e7d-83ab-6cbecb7aa5bf.png	https://eu.store.bambulab.com/products/pla-glow
15400	PLA Glow	Glow Yellow	PLA	A12-Y0	https://store.bblcdn.eu/s8/default/4cffb4e77bab4384b32fc327a60bc1f2/4fefbcd44633bcd5e4f4663eafb78c3c_cb3f9dbb-235b-4e7d-83ab-6cbecb7aa5bf.png	https://eu.store.bambulab.com/products/pla-glow
15500	PLA Glow	Glow Green	PLA	A12-G0	https://store.bblcdn.eu/s8/default/4cffb4e77bab4384b32fc327a60bc1f2/4fefbcd44633bcd5e4f4663eafb78c3c_cb3f9dbb-235b-4e7d-83ab-6cbecb7aa5bf.png	https://eu.store.bambulab.com/products/pla-glow
15600	PLA Glow	Glow Blue	PLA	A12-B0	https://store.bblcdn.eu/s8/default/4cffb4e77bab4384b32fc327a60bc1f2/4fefbcd44633bcd5e4f4663eafb78c3c_cb3f9dbb-235b-4e7d-83ab-6cbecb7aa5bf.png	https://eu.store.bambulab.com/products/pla-glow
16100	PLA Lite	Black	PLA Lite	A18-K0		
16101	PLA Lite	Gray	PLA Lite	A18-D0		
16103	PLA Lite	White	PLA Lite	A18-W0		
16200	PLA Lite	Red	PLA Lite	A18-R0		
16400	PLA Lite	Yellow	PLA Lite	A18-Y0		
16600	PLA Lite	Cyan	PLA Lite	A18-B0		
16601	PLA Lite	Blue	PLA Lite	A18-B1		
16602	PLA Lite	Matte Beige	PLA Lite	A18-P0		
31100	PETG-CF	Black	PETG	G50-K0	https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
31101	PETG-CF	Titan Gray	PETG	G50-D6	https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
31200	PETG-CF	Brick Red	PETG		https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
31500	PETG-CF	Malachite Green	PETG	G50-G7	https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
31600	PETG-CF	Indigo Blue	PETG		https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
31700	PETG-CF	Violet Purple	PETG	G50-P7	https://store.bblcdn.eu/s8/default/7e67cea6705a4709a7452e1b0fb113e4/PETG-CFpurp_37ad5532-5d64-4eb9-90b0-d183f2511e9e.png	https://eu.store.bambulab.com/products/petg-cf
32100	PETG Translucent	Translucent Gray	PETG	G01-D0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32101	PETG Translucent	Clear	PETG	G01-C0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32200	PETG Translucent	Translucent Pink	PETG	G01-P1	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32300	PETG Translucent	Translucent Orange	PETG	G01-A0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32500	PETG Translucent	Translucent Olive	PETG	G01-G0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32501	PETG Translucent	Translucent Teal	PETG	G01-G1	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32600	PETG Translucent	Translucent Light Blue	PETG	G01-B0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32700	PETG Translucent	Translucent Purple	PETG	G01-P0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
32800	PETG Translucent	Translucent Brown	PETG	G01-N0	https://store.bblcdn.eu/s8/default/e39842a1bdb243a2bbb809444d83ad94/JP34951_dfb10fec-368d-47a7-8bd8-bb506498a9bd.jpg	https://eu.store.bambulab.com/products/petg-translucent
33100	PETG HF	White	PETG	G02-W0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33101	PETG HF	Gray	PETG	G02-D0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33102	PETG HF	Black	PETG	G02-K0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33103	PETG HF	Dark Gray	PETG	G02-D1	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33200	PETG HF	Red	PETG	G02-R0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33300	PETG HF	Orange	PETG	G02-A0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
33400	PETG HF	Yellow	PETG	G02-Y0	https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg	https://eu.store.bambulab.com/products/petg-hf
